treeno,speciesname,,,,,,,
1,Holnig,,,,,,,
2,Vatind,,,,,,,
3,Vatind,,,,,,,
4,Hoppon,,,,,,,
5,Vatind,,,,,,,
6,Holnig,,,,,,,
7,Gartal,,,,,,,
8,Vatind,,,,,,,
9,Hoppon,,,,,,,
10,Gartal,,,,,,,
11,Hoppon,,,,,,,
12,Antmen,,,,,,,
13,Hoppon,,,,,,,
14,Gartal,,,,,,,
15,Vatind,,,,,,,
16,Hoppon,,,,,,,
17,Vatind,,,,,,,
18,Hydpen,,,,,,,
19,Humbru,,,,,,,
20,Euoind,,,,,,,
21,Humbru,,,,,,,
22,Humbru,,,,,,,
23,Gartal,,,,,,,
24,Myrdac,,,,,,,
25,Vatind,,,,,,,
26,Vatind,,,,,,,
27,Gymcan,,,,,,,
28,Gymcan,,,,,,,
29,Vatind,,,,,,,
30,Kneatt,,,,,,,
31,Cinsp1,,,,,,,
32,Kneatt,,,,,,,
33,Reiana,,,,,,,
34,Baccou,,,,,,,
35,Arcmon,,,,,,,
36,Aglbar,,,,,,,
37,Reiana,,,,,,,
38,Kneatt,,,,,,,
39,Arcmon,,,,,,,
40,Arcmon,,,,,,,
41,Kneatt,,,,,,,
42,Diopru,,,,,,,
43,Reiana,,,,,,,
44,Kneatt,,,,,,,
45,Syzgar,,,,,,,
46,Manind,,,,,,,
47,Gartal,,,,,,,
48,Kneatt,,,,,,,
49,Diosyl,,,,,,,
50,Hoppar,,,,,,,
51,Ixobra,,,,,,,
52,Antmen,,,,,,,
53,Vatind,,,,,,,
54,Kneatt,,,,,,,
55,Vatind,,,,,,,
56,Dryela,,,,,,,
57,Hoppar,,,,,,,
58,Gymcan,,,,,,,
59,Mesfer,,,,,,,
60,Mesfer,,,,,,,
61,Dryela,,,,,,,
62,Palell,,,,,,,
63,Dipind,,,,,,,
64,Gartal,,,,,,,
65,Crywig,,,,,,,
66,Kneatt,,,,,,,
67,Kneatt,,,,,,,
68,Baccou,,,,,,,
69,Kneatt,,,,,,,
70,Palell,,,,,,,
71,Gargum,,,,,,,
72,Kneatt,,,,,,,
73,Palell,,,,,,,
74,Reiana,,,,,,,
75,Palell,,,,,,,
76,Dipind,,,,,,,
77,Palell,,,,,,,
78,Kneatt,,,,,,,
79,Myrmal,,,,,,,
80,Reiana,,,,,,,
81,Cromal,,,,,,,
82,Reiana,,,,,,,
83,Vatind,,,,,,,
84,Cinsp1,,,,,,,
85,Hoppar,,,,,,,
86,Baccou,,,,,,,
87,Hoppon,,,,,,,
88,Reiana,,,,,,,
89,Humbru,,,,,,,
90,Humbru,,,,,,,
91,Kneatt,,,,,,,
92,Dipind,,,,,,,
93,Vatind,,,,,,,
94,Dryela,,,,,,,
95,Reiana,,,,,,,
96,Dryela,,,,,,,
97,Marind,,,,,,,
98,Vatind,,,,,,,
99,Palell,,,,,,,
100,Fahzey,,,,,,,
101,Cromal,,,,,,,
102,Kneatt,,,,,,,
103,Kneatt,,,,,,,
104,Vatind,,,,,,,
105,Marind,,,,,,,
106,Vatind,,,,,,,
107,Vatind,,,,,,,
108,Vatind,,,,,,,
109,Vatind,,,,,,,
110,Vatind,,,,,,,
111,Humbru,,,,,,,
112,Humbru,,,,,,,
113,Myrdac,,,,,,,
114,Vatind,,,,,,,
115,Myrdac,,,,,,,
116,Reiana,,,,,,,
117,Palell,,,,,,,
118,Vatind,,,,,,,
119,Kneatt,,,,,,,
120,Dipind,,,,,,,
121,Vatind,,,,,,,
122,Palell,,,,,,,
123,Vatind,,,,,,,
124,Vatind,,,,,,,
125,Palell,,,,,,,
126,Vatind,,,,,,,
127,Vatind,,,,,,,
128,Dipind,,,,,,,
129,Vatind,,,,,,,
130,Vatind,,,,,,,
131,Humbru,,,,,,,
132,Vatind,,,,,,,
133,Dipind,,,,,,,
134,Dryela,,,,,,,
135,Kneatt,,,,,,,
136,Fahzey,,,,,,,
137,Syzgar,,,,,,,
138,Mesfer,,,,,,,
139,Vatind,,,,,,,
140,Vatind,,,,,,,
141,Palell,,,,,,,
142,Garmor,,,,,,,
143,Humbru,,,,,,,
144,Vatind,,,,,,,
