treeno,speciesname
1,Holnig
2,Vatind
4,Hoppon
7,Gartal
12,Antmen
18,Hydpen
19,Humbru
20,Euoind
24,Myrdac
27,Gymcan
30,Kneatt
31,Cinsp1
33,Reiana
34,Baccou
35,Arcmon
36,Aglbar
42,Diopru
45,Syzgar
46,Manind
49,Diosyl
50,Hoppar
51,Ixobra
56,Dryela
59,Mesfer
62,Palell
63,Dipind
65,Crywig
71,Gargum
79,Myrmal
81,Cromal
97,Marind
100,Fahzey
142,Garmor
183,Aglper
196,Agrbor
209,Densin
214,Ficcal
223,Kinpin
246,Rinben
253,Acttad
264,Hydalp
295,Casova
297,Polfra
298,Canstr
312,Drycon
810,Cyazey
817,Dimlon
818,Otosti
824,Carilea
825,Vepbil
828,Diobux
832,Hararb
834,Ptediv
839,Diobou
846,Gloell
847,Arthet
851,Carure
856,Macpel
858,Arthir
A017,Lepcau
A072,Masarb
A102,Ficner
A107,Antmon
A108,Lopwig
A130,Holarn
B 40,Syzlae
B201,Dimlaw
B266,Calpol
B287,Strcey
B317,Micwal
C031,Notbed
C073,Diogha
C146,Flamon
C147,Pajlon
C195,Holfer
C283,Holgra
C467,Malste
D115,Herpap
D375,Beiwig
E089,Chrrox
E197,Alpsp1
E284,Memmac
E292,Homzey
E312,Malphi
E371,Isolan
E396,Neopur
Ha 43,Polcof
Ha44,Semaur
Hg26,Glymac
Hg65,Litflo
Hg66,Dryobl
Hh54,Aphpol
Hh 72,Symrac
Hh67,Agllaw
