TreeId,Sp_code,Belt,X2019,X2021,X2022,GirthNote2021 ,GirthNote2022
A001,Vatind,69,6.92,6.96,6.98,Nil,Nil
A003,Vatind,116,14.26,0,4.16,Newbelt fixed @ same pom,Nil
A004,Vatind,90,11.36,11.76,12.54,Nil,Nil
A006,Humbru,29,6.6,6.84,7.26,Nil,Nil
A007,Humbru,39,3.08,3.08,3.08,Nil,Nil
A008,Humbru,34,9,9.08,9.18,Nil,Nil
A009,Vatind,255,6.6,9.64,11.3,Nil,Nil
A010,Humbru,29,3.06,3.06,3.1,near A211,Nil
A013,Dryela,94,4.34,5.38,7.36,fluted,Nil
A015,Dryela,44,7.4,8.24,8.9,Nil,Nil
A017,Lepcau,39,3.34,3.3,3.2,Climber,Nil
A018,Humbru,34,8.62,8.64,8.64,Nil,Nil
A020,Vatind,168,12.1,15,2.9,Newbelt fixed @ same pom,Nil
A022,Vatind,94,7.1,7.56,7.6,Nil,Nil
A024,Reiana,38,0.24,0.38,0.52,Nil,Nil
A025,Kneatt,69,6.66,7.08,7.08,near A204,Nil
A026,Vatind,261.5,8.48,8.76,10.28,Nil,Nil
A028,Palell,74,10,10.04,10.16,Nil,Nil
A029,Palell,34,4.58,4.82,4.2,Nil,Nil
A030,Vatind,39,9.64,9.64,9.64,Nil,Nil
A031,Humbru,29,6,6.1,6.26,Nil,Nil
A032,Myrdac,104,14.16,14.84,15.08,near A022,Nil
A034,Parpen,144,4,3.98,4.06,Termite attack,Nil
A035,Palell,69,4.32,5.44,6.16,Termite attack,Nil
A036,Palell,29,4.46,4.4,4.46,Nil,Nil
A037,Myrdac,159,11.96,12.4,13.08,Nil,Nil
A038,Humbru,44,5.44,5.46,5.42,slanting; near A212,Nil
A039,Vatind,34,7.24,7.76,8.5,near A191; A216 (previously A41),Nil
A040,Myrdac,118,12.14,-999,-999,uprooted; dead due to another uprooted tree,Nil
A041,Vatind,374,0.6,-999,-999,near A216; Uprooted; fallen; not possible to take girth; dead,Nil
A042,Myrdac,149,9.4,9.78,10.24,fluted; multistem 47.2 @ belt level; near A216 (previously near A041),Nil
A043,Kneatt,44,10.82,10.82,10.82,Nil,Nil
A044,Vatind,64,6,6.32,6.66,reitreation at 1.5m; near A190; A220,Nil
A045,Notbed,39,7.82,8.06,8.46,Nil,Nil
A047,Humbru,44,10.64,11.28,11.74,Nil,Nil
A048,Diosyl,124,6.3,10.46,11.3,irregular;A221,Nil
A049,Dryela,104,13.42,13.86,14.52,fluted; A222,Nil
A052,Kneatt,64,9.92,10,10.9,near A191,Nil
A054,Vatind,83,13.92,14.3,14.3,Nil,Nil
A055,Cinsp1,54,14.44,15.5,3.6,Newbelt fixed @ same pom,Nil
A056,Kneatt,54,9.14,9.8,10.2,Nil,Nil
A057,Palell,29,7.1,8,9.44,Nil,Nil
A058,Parpen,79,8.7,8.74,-999,uprooted; dead; belt removed,Nil
A059,Myrdac,109,7.44,-999,-999,tp @ 4m; Belt missing; tree fallen?,Nil
A060,Mesfer,68,6.3,7,7.6,near A192,Nil
A061,Palell,66.5,1.98,3.96,5.64,near A193,Nil
A063,Vatind,54,10.44,10.5,10.5,Nil,Nil
A065,Dryela,165,1.4,2.12,2.74,"near A210, fluted; A223; A233",Nil
A066,Vatind,363,5.6,10.54,14.24,Nil,Nil
A067,Syzlae,39,6.78,6.86,6.84,Nil,Nil
A068,Baccou,34,6.96,7.1,7.2,Nil,Nil
A069,Myrdac,0,15.42,16,-999,Belt removed; Newbelt to be fixed for Girth 169; multi stem G 76; G 29; ,Nil
A070,Kneatt,44,3.82,3.88,3.84,Nil,Nil
